deporte	liga	local	visita	fecha_hora_evento
Futbol	España / La Liga	Osasuna	Girona	2023-11-05T10:00Z
Futbol	España / La Liga	Las Palmas	Atletico Madrid	2023-11-05T10:00Z
Futbol	España / La Liga	Real Madrid	Rayo Vallecano	2023-11-05T10:00Z
Futbol	España / La Liga	Real Sociedad	Barcelona	2023-11-05T10:00Z
Futbol	España / La Liga	Valencia	Granada	2023-11-05T10:00Z
Futbol	España / La Liga	Villarreal	Athletic	2023-11-05T10:00Z
Futbol	España / La Liga	Almeria	Real Sociedad	2023-11-12T10:00Z
Futbol	España / La Liga	Atletico Madrid	Villarreal	2023-11-12T10:00Z
Futbol	España / La Liga	Athletic	Celta Vigo	2023-11-12T10:00Z
Futbol	España / La Liga	Granada	Getafe	2023-11-12T10:00Z
Futbol	España / La Liga	Mallorca	Cadiz	2023-11-12T10:00Z
Futbol	España / La Liga	Osasuna	Las Palmas	2023-11-12T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Girona	2023-11-12T10:00Z
Futbol	España / La Liga	Barcelona	Alaves	2023-11-12T10:00Z
Futbol	España / La Liga	Real Madrid	Valencia	2023-11-12T10:00Z
Futbol	España / La Liga	Sevilla	Betis	2023-11-12T10:00Z
Futbol	España / La Liga	Alaves	Granada	2023-11-26T10:00Z
Futbol	España / La Liga	Atletico Madrid	Mallorca	2023-11-26T10:00Z
Futbol	España / La Liga	Betis	Las Palmas	2023-11-26T10:00Z
Futbol	España / La Liga	Cadiz	Real Madrid	2023-11-26T10:00Z
Futbol	España / La Liga	Getafe	Almeria	2023-11-26T10:00Z
Futbol	España / La Liga	Girona	Athletic	2023-11-26T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Barcelona	2023-11-26T10:00Z
Futbol	España / La Liga	Real Sociedad	Sevilla	2023-11-26T10:00Z
Futbol	España / La Liga	Valencia	Celta Vigo	2023-11-26T10:00Z
Futbol	España / La Liga	Villarreal	Osasuna	2023-11-26T10:00Z
Futbol	España / La Liga	Almeria	Betis	2023-12-03T10:00Z
Futbol	España / La Liga	Athletic	Rayo Vallecano	2023-12-03T10:00Z
Futbol	España / La Liga	Barcelona	Atletico Madrid	2023-12-03T10:00Z
Futbol	España / La Liga	Celta Vigo	Cadiz	2023-12-03T10:00Z
Futbol	España / La Liga	Girona	Valencia	2023-12-03T10:00Z
Futbol	España / La Liga	Las Palmas	Getafe	2023-12-03T10:00Z
Futbol	España / La Liga	Mallorca	Alaves	2023-12-03T10:00Z
Futbol	España / La Liga	Osasuna	Real Sociedad	2023-12-03T10:00Z
Futbol	España / La Liga	Real Madrid	Granada	2023-12-03T10:00Z
Futbol	España / La Liga	Sevilla	Villarreal	2023-12-03T10:00Z
Futbol	España / La Liga	Alaves	Las Palmas	2023-12-10T10:00Z
Futbol	España / La Liga	Atletico Madrid	Almeria	2023-12-10T10:00Z
Futbol	España / La Liga	Barcelona	Girona	2023-12-10T10:00Z
Futbol	España / La Liga	Betis	Real Madrid	2023-12-10T10:00Z
Futbol	España / La Liga	Cadiz	Osasuna	2023-12-10T10:00Z
Futbol	España / La Liga	Getafe	Valencia	2023-12-10T10:00Z
Futbol	España / La Liga	Granada	Athletic	2023-12-10T10:00Z
Futbol	España / La Liga	Mallorca	Sevilla	2023-12-10T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Celta Vigo	2023-12-10T10:00Z
Futbol	España / La Liga	Villarreal	Real Sociedad	2023-12-10T10:00Z
Futbol	España / La Liga	Athletic	Atletico Madrid	2023-12-17T10:00Z
Futbol	España / La Liga	Girona	Alaves	2023-12-17T10:00Z
Futbol	España / La Liga	Celta Vigo	Granada	2023-12-17T10:00Z
Futbol	España / La Liga	Las Palmas	Cadiz	2023-12-17T10:00Z
Futbol	España / La Liga	Osasuna	Rayo Vallecano	2023-12-17T10:00Z
Futbol	España / La Liga	Almeria	Mallorca	2023-12-17T10:00Z
